# Axial profile TIC nozzle / chemical equilibrium
# Columns:
# 1: Distance from throat [mm]
# 2: Density [kg/m3]
# 3: axial velocity [m/s]
# 4: pressure [Pa]
# 5: temperature [K]
# 6: Mach number [1]
# 7-12: Mass fractions of major species: CO, CO2, H2, H2O, OH, O2
 7.500401727E+01 3.204678738E+00 1.598803049E+03 4.256781667E+06 3.484325896E+03 1.306901427E+00 2.203387066E-01 2.633264995E-01 7.050186299E-03 3.955953435E-01 5.783230120E-02 4.514511105E-02
 7.875413778E+01 3.113477662E+00 1.625520908E+03 4.120512064E+06 3.475639407E+03 1.330986790E+00 2.198410469E-01 2.641096737E-01 7.031470448E-03 3.960244281E-01 5.745209983E-02 4.492940572E-02
 8.261676192E+01 3.024126522E+00 1.651626725E+03 3.989081029E+06 3.465097461E+03 1.355098645E+00 2.190615102E-01 2.653358075E-01 7.000243728E-03 3.967046435E-01 5.688736979E-02 4.455211654E-02
 8.659526478E+01 2.935558476E+00 1.678626799E+03 3.854872964E+06 3.453916585E+03 1.380363788E+00 2.181948693E-01 2.666988334E-01 6.965152958E-03 3.974632254E-01 5.626581948E-02 4.412496161E-02
 9.069312272E+01 2.854143386E+00 1.702870059E+03 3.736058893E+06 3.445522578E+03 1.402541477E+00 2.176993944E-01 2.674784144E-01 6.947216775E-03 3.978730370E-01 5.589856545E-02 4.390704840E-02
 9.491391640E+01 2.774964024E+00 1.726791166E+03 3.620590273E+06 3.435706688E+03 1.424965139E+00 2.169800233E-01 2.686098443E-01 6.918582186E-03 3.984986050E-01 5.537896936E-02 4.355967785E-02
 9.926133389E+01 2.694947922E+00 1.751979036E+03 3.500787343E+06 3.425322713E+03 1.448828309E+00 2.161983935E-01 2.698391368E-01 6.887058146E-03 3.991843881E-01 5.481604847E-02 4.317795485E-02
 1.037391739E+02 2.617339324E+00 1.775791323E+03 3.389324858E+06 3.416403633E+03 1.471046776E+00 2.156322716E-01 2.707296794E-01 6.865695569E-03 3.996651372E-01 5.439971153E-02 4.292015077E-02
 1.083513491E+02 2.536456699E+00 1.801461210E+03 3.271153428E+06 3.405085915E+03 1.495670660E+00 2.147510258E-01 2.721154819E-01 6.831314437E-03 4.004093796E-01 5.378272894E-02 4.248489657E-02
 1.131018896E+02 2.453861977E+00 1.827918969E+03 3.151562671E+06 3.395564061E+03 1.520476946E+00 2.141859204E-01 2.730044553E-01 6.811733362E-03 4.008586749E-01 5.337475150E-02 4.223540727E-02
